US3278,Deploy iPhone API Profile Changes (US3035) to Live,i48,1,2
US3277,Deploy Device Attributes changes (US3061 & US3062 Add unit into Bluepool) to Live,i48,1,1
US3283,HTECH-2307: SFR would like to change the Customer Care UI for the FOTA and Email services to bring them into a single tabbed portal.,i48,13,39
US3574,Go Live for (US3283)-SFR Customer Care UI for the FOTA and Email services,i49,1,2
US3310,Deploy Jasmine Input Tool (US3189) to LIVE,i49,1,1
US3505,Path to LIVE for Hosted Client Provisioning - Sync Up Latest Code from Orion to Tomcat,i49,5,22
US2825,Update Nashua site to use new version of Device Simulator Player,i49,8,40.5
US3027,Device Page - rollout for Solavei,i49,8,56
US3518,SFR Selfcare - Brand 123 Parametrez & FOTA Look & Feel,i49,13,21
US3506,Path to LIVE for Hosted Client Provisioning - Ensure State of Staging and Spidertest Box,i49,13,14.5
US3381,SCF Core. Extract tests from customer side to core,i49,21,67.5
US3661,[Continued] Demo US2825 - Nashua Site to use new Simulator V2,i50,1,8
US3605,HTECH-2545: iPhone Email Config - OTA API,i50,3,15.5
US3508,"Path to LIVE for Hosted Client Provisioning - Reporting, Final Testing and Go Live",i50,3,28.5
US3446,Deploy Gemalto Export Changes (US2884) to Live,i50,8,28.5
US3410,HTECH 2507 MTN OTA Rebranding,i50,8,36
US2913,Online Care Core - Google Analytic Reporting,i50,13,43
US3649,Support multiple networks within a Selfcare instance,i50,21,74.5
US3517,HTECH-2388: Go LIVE for US3518 - SFR Selfcare,i51,3,6.5
US3898,Secure and whitelisted OTA API for Sprint.com Simulator v1,i51,3,10
US3603,Airvoice - Non Branded Hosted Client Provisioning Site (Customer Based on HTECH-2535),i51,5,8
US3754,HTECH-2522: Oval/Weve Device Attributes feed,i51,5,5.5
US3024,Device Page - rollout for Nashua,i51,21,63
US3646,Generate Site Map xml for Core,i51,21,46.5
US3908,HTECH-2572: OTA site for Samsung AF2,i52,2,9.5
US3839,Test generated site map xml for core,i52,13,17.5
US3951,Make AJAX page available for crawling in Solavei (Server Side Changes),i52,13,87
US3950,Investigate & create hash bang tag for AJAX URLs in Online Care Core,i52,21,38
US3815,Setup enviroment for UserManagment application,i53,5,
US4024,Find OTA Capable devices by content group id,i53,8,
US3822,Integrate UserManagment with IdVendor,i53,13,
US2829,Create Fix an Issue Tab (WDS demo site),i53,21,

